prompt,completion
"Edad: 25 años | Sexo: Hombre | Altura: 1.75m | Peso: 70kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Fuerza | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 1.5L/día | Horas de sueño: 7h | Calidad de sueño: Buena | Objetivo: Ganar músculo","Rutina: Fuerza para principiante - 3 días/semana\n\nAnálisis del perfil:\nEl usuario tiene bajo nivel de rendimiento y poca frecuencia actual (1-2 veces/semana), por lo que se arranca con volumen moderado para evitar sobreentrenamiento. Su consumo de agua (1.5L) está por debajo de lo recomendado para alguien que entrena fuerza; se sugiere aumentar a mínimo 2.5L. El sueño es adecuado (7h, buena calidad), lo que favorece la recuperación muscular.\n\nDía 1 - Lunes (Tren superior):\n1. Press de banca con barra - 3x10 - Descanso 90s\n2. Remo con barra - 3x10 - Descanso 90s\n3. Press militar con mancuernas - 3x12 - Descanso 60s\n4. Curl de bíceps con barra - 3x12 - Descanso 60s\n5. Extensión de tríceps en polea - 3x12 - Descanso 60s\n\nDía 2 - Miércoles (Tren inferior):\n1. Sentadilla con barra - 3x10 - Descanso 90s\n2. Peso muerto rumano - 3x10 - Descanso 90s\n3. Prensa de pierna - 3x12 - Descanso 60s\n4. Extensión de cuádriceps - 3x15 - Descanso 60s\n5. Curl femoral - 3x15 - Descanso 60s\n\nDía 3 - Viernes (Full body):\n1. Sentadilla goblet - 3x12 - Descanso 60s\n2. Dominadas asistidas - 3x8 - Descanso 90s\n3. Fondos en paralelas - 3x8 - Descanso 90s\n4. Plancha abdominal - 3x45s - Descanso 45s\n5. Hip thrust con barra - 3x12 - Descanso 60s\n\nRecomendaciones adicionales:\n- Nutrición: Con dieta omnívora, priorizar 2g de proteína/kg/día (140g). Incluir pollo, huevo, carne y lácteos.\n- Hidratación: Aumentar a 2.5-3L de agua diarios, especialmente en días de entrenamiento.\n- Incrementar peso 2.5kg cada 2 semanas cuando se completen todas las series con buena técnica."
"Edad: 30 años | Sexo: Mujer | Altura: 1.62m | Peso: 65kg | Frecuencia de ejercicio: 3-4 veces/semana | Nivel de rendimiento: Medio | Estilo de entrenamiento: Cardio y tonificación | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Vegetariana | Consumo de agua: 2L/día | Horas de sueño: 6.5h | Calidad de sueño: Regular | Objetivo: Perder grasa y tonificar","Rutina: Tonificación y pérdida de grasa - 4 días/semana\n\nAnálisis del perfil:\nUsuaria con frecuencia regular (3-4 veces/semana) y nivel medio. Su sueño de 6.5h con calidad regular es un factor limitante para la pérdida de grasa (el cortisol elevado por mal sueño dificulta la quema de grasa). Se recomienda trabajar en mejorar el sueño paralelamente. Con dieta vegetariana, se debe prestar atención especial a la ingesta de proteína completa.\n\nDía 1 - Lunes (Tren superior + cardio):\n1. Press de banca con mancuernas - 4x12 - Descanso 60s\n2. Remo en polea baja - 4x12 - Descanso 60s\n3. Elevaciones laterales - 3x15 - Descanso 45s\n4. Curl martillo - 3x15 - Descanso 45s\n5. Tríceps en polea - 3x15 - Descanso 45s\n6. HIIT en caminadora - 15 min (1 min sprint / 1 min trote)\n\nDía 2 - Martes (Tren inferior):\n1. Sentadilla sumo con mancuerna - 4x15 - Descanso 60s\n2. Zancadas con mancuernas - 3x12 cada pierna - Descanso 60s\n3. Hip thrust con barra - 4x15 - Descanso 60s\n4. Abducción de cadera en máquina - 3x20 - Descanso 45s\n5. Pantorrillas de pie - 4x20 - Descanso 30s\n\nDía 3 - Jueves (Full body funcional):\n1. Burpees - 4x10 - Descanso 60s\n2. Sentadilla con salto - 3x12 - Descanso 60s\n3. Flexiones - 3x12 - Descanso 60s\n4. Remo con mancuerna - 3x12 - Descanso 60s\n5. Plancha lateral - 3x30s cada lado - Descanso 30s\n6. Mountain climbers - 3x30s - Descanso 30s\n\nDía 4 - Sábado (Glúteos y cardio):\n1. Hip thrust pesado - 4x10 - Descanso 90s\n2. Sentadilla búlgara - 3x12 - Descanso 60s\n3. Patada de glúteo en polea - 3x15 - Descanso 45s\n4. Peso muerto con piernas rígidas - 3x12 - Descanso 60s\n5. Bicicleta estática - 20 min ritmo moderado\n\nRecomendaciones:\n- Vegetariana: combinar legumbres + cereales para proteína completa. Considerar suplementar B12.\n- Mejorar sueño a mínimo 7h para optimizar pérdida de grasa.\n- Aumentar agua a 2.5L en días de entrenamiento."
"Edad: 45 años | Sexo: Hombre | Altura: 1.80m | Peso: 90kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Cardio | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 1L/día | Horas de sueño: 8h | Calidad de sueño: Buena | Objetivo: Mejorar salud cardiovascular y bajar de peso | Lesión: Dolor lumbar leve","Rutina: Cardio y acondicionamiento - 5 días/semana (adaptada lumbar)\n\nAnálisis del perfil:\nUsuario con bajo nivel de rendimiento, alta frecuencia objetivo (5 días) y lesión lumbar activa. Su sueño es óptimo (8h, buena calidad), lo cual favorece la recuperación. ALERTA: el consumo de agua de 1L/día es muy bajo para alguien de 90kg que hará cardio diario. Esto puede causar fatiga, calambres y dificultar la pérdida de peso. Aumentar progresivamente a 3L es urgente.\n\nDía 1 - Lunes (Cardio suave + core):\n1. Caminata en caminadora inclinada - 20 min (inclinación 5%)\n2. Bicicleta estática - 15 min - Ritmo moderado\n3. Plancha modificada en rodillas - 3x30s\n4. Bird-dog - 3x10 cada lado\n5. Estiramiento de isquiotibiales - 3x30s\n\nDía 2 - Martes (Tren superior sin carga lumbar):\n1. Press en máquina pecho - 3x15\n2. Jalón al pecho en polea - 3x15\n3. Press de hombros en máquina - 3x15\n4. Curl de bíceps sentado - 3x15\n5. Extensión de tríceps en polea - 3x15\n6. Bicicleta - 15 min\n\nDía 3 - Miércoles (Recuperación activa):\n1. Caminata al aire libre - 30 min ritmo suave\n2. Estiramientos cuerpo completo - 15 min\n3. Movilidad de cadera - 10 min\n\nDía 4 - Jueves (Tren inferior sin impacto lumbar):\n1. Prensa de pierna - 4x15\n2. Extensión de cuádriceps en máquina - 3x15\n3. Curl femoral en máquina - 3x15\n4. Abducción de cadera sentado - 3x20\n5. Pantorrillas en prensa - 4x20\n\nDía 5 - Viernes (Cardio HIIT suave + estiramientos):\n1. Bicicleta intervalos: 1 min rápido / 2 min suave x 10 rondas\n2. Caminata 10 min\n3. Estiramientos de espalda baja: child pose, gato-vaca, rodillas al pecho\n\nRecomendaciones:\n- URGENTE: subir agua a 3L/día. Con 90kg y 5 días de actividad, 1L es peligrosamente bajo.\n- Evitar sentadilla con barra, peso muerto convencional y cualquier ejercicio con carga axial lumbar.\n- Consultar fisioterapeuta para fortalecimiento del core profundo antes de aumentar intensidad."
"Edad: 19 años | Sexo: Mujer | Altura: 1.60m | Peso: 52kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Fuerza y estética | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 2L/día | Horas de sueño: 8h | Calidad de sueño: Buena | Objetivo: Ganar masa muscular y definición","Rutina: Hipertrofia para principiante - 3 días/semana\n\nAnálisis del perfil:\nUsuaria joven con excelente sueño (8h, buena calidad). Bajo nivel de rendimiento actual, pero con todos los factores de recuperación a su favor. Al venir de 1-2 veces/semana, las primeras 2 semanas pueden generar agujetas intensas.\n\nDía 1 - Martes (Empuje):\n1. Press de banca con mancuernas - 3x12\n2. Press inclinado con mancuernas - 3x12\n3. Fondos en paralelas asistidos - 3x10\n4. Press de hombros sentada - 3x12\n5. Elevaciones frontales - 3x15\n6. Extensión de tríceps sobre cabeza - 3x15\n\nDía 2 - Jueves (Jalón + pierna posterior):\n1. Dominadas asistidas - 3x8\n2. Remo en máquina - 3x12\n3. Jalón al pecho agarre cerrado - 3x12\n4. Curl de bíceps con barra - 3x12\n5. Peso muerto rumano - 3x12\n6. Curl femoral en máquina - 3x15\n\nDía 3 - Sábado (Pierna completa + glúteo):\n1. Sentadilla con barra - 3x10\n2. Hip thrust con barra - 4x12\n3. Prensa de pierna - 3x15\n4. Sentadilla búlgara - 3x10 cada pierna\n5. Abducción en máquina - 3x20\n6. Pantorrillas de pie - 4x20\n\nRecomendaciones:\n- Proteína: 1.8-2g/kg = 94-104g/día. Distribuir en 4 comidas.\n- Superávit calórico de 200-300 kcal sobre su mantenimiento.\n- Hidratación correcta, mantener 2L mínimo."
"Edad: 35 años | Sexo: Hombre | Altura: 1.78m | Peso: 80kg | Frecuencia de ejercicio: 5+ veces/semana | Nivel de rendimiento: Alto | Estilo de entrenamiento: Fuerza y potencia | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Alta en proteínas | Consumo de agua: 3L/día | Horas de sueño: 7.5h | Calidad de sueño: Buena | Objetivo: Rendimiento deportivo y explosividad","Rutina: Potencia y rendimiento deportivo - 5 días/semana\n\nAnálisis del perfil:\nUsuario con perfil óptimo para entrenamiento de alto rendimiento: frecuencia alta, nivel alto, buena hidratación (3L), sueño adecuado (7.5h) y dieta alta en proteínas.\n\nDía 1 - Lunes (Fuerza máxima - Tren inferior):\n1. Sentadilla con barra - 5x5 al 80% RM - Descanso 3 min\n2. Peso muerto - 4x4 al 85% RM - Descanso 3 min\n3. Sentadilla búlgara con barra - 3x6 - Descanso 2 min\n4. Extensión de cuádriceps - 3x10\n5. Curl femoral - 3x10\n\nDía 2 - Martes (Potencia - Tren superior):\n1. Press de banca con barra - 5x5 al 80% RM\n2. Press militar de pie - 4x5\n3. Remo Pendlay - 4x5\n4. Aperturas con mancuernas - 3x12\n5. Face pull en polea - 3x15\n\nDía 3 - Miércoles (Pliométrico):\n1. Saltos al cajón - 5x5 - Descanso 2 min\n2. Saltos con sentadilla - 4x6\n3. Lanzamiento de balón medicinal - 4x8\n4. Sprint 20m - 6 repeticiones\n5. Core antirotacional - 3x10 cada lado\n\nDía 4 - Jueves (Fuerza - Tren superior):\n1. Dominadas con peso - 4x6\n2. Press inclinado con barra - 4x6\n3. Remo en T - 4x8\n4. Curl de bíceps - 3x10\n5. Tríceps en polea - 3x12\n\nDía 5 - Viernes (Full body + potencia):\n1. Clean & press - 5x3\n2. Sentadilla frontal - 4x5\n3. Remo explosives - 4x5\n4. Core y estiramientos - 20 min\n\nRecomendaciones:\n- Con este volumen, asegurar 2.2-2.5g proteína/kg = 176-200g/día.\n- Semanas de descarga cada 4 semanas al 60% del volumen.\n- Monitorear frecuencia cardíaca en reposo como indicador de sobreentrenamiento."
"Edad: 55 años | Sexo: Mujer | Altura: 1.65m | Peso: 68kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Movilidad y funcional | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 1.5L/día | Horas de sueño: 7h | Calidad de sueño: Regular | Objetivo: Mantener masa muscular y mejorar movilidad | Condición especial: Cuidado en rodillas","Rutina: Mantenimiento y movilidad - 3 días/semana\n\nAnálisis del perfil:\nUsuaria mayor con bajo rendimiento y cuidado en rodillas. La calidad de sueño regular puede dificultar la recuperación muscular, que a partir de los 50 años es más lenta. El consumo de agua de 1.5L es insuficiente; aumentar a 2L.\n\nDía 1 - Lunes (Tren superior):\n1. Press en máquina pecho - 3x15\n2. Remo en polea baja sentada - 3x15\n3. Elevaciones laterales con mancuernas livianas - 3x15\n4. Curl de bíceps sentada - 3x15\n5. Extensión de tríceps en polea - 3x15\n6. Estiramiento de pectoral y hombro - 10 min\n\nDía 2 - Miércoles (Tren inferior adaptado):\n1. Prensa de pierna (rango parcial) - 3x15\n2. Extensión de cuádriceps suave - 3x15\n3. Curl femoral en máquina - 3x15\n4. Puente de glúteos en suelo - 3x15\n5. Abducción lateral tumbada - 3x20\n6. Caminata en caminadora sin inclinación - 15 min\n\nDía 3 - Viernes (Full body suave + equilibrio):\n1. Sentadilla asistida en TRX - 3x12\n2. Remo con banda elástica - 3x15\n3. Equilibrio monopodal - 3x30s cada pie\n4. Plancha en rodillas - 3x30s\n5. Yoga suave o estiramientos globales - 20 min\n\nRecomendaciones:\n- EVITAR sentadilla profunda e impacto en rodillas.\n- Priorizar proteína animal para contrarrestar sarcopenia.\n- Considerar suplementación de vitamina D y calcio."
"Edad: 22 años | Sexo: Hombre | Altura: 1.70m | Peso: 60kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Fuerza e hipertrofia | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 2L/día | Horas de sueño: 9h | Calidad de sueño: Muy buena | Objetivo: Ganar peso y masa muscular (ectomorfo)","Rutina: Volumen para ectomorfo - 4 días/semana\n\nAnálisis del perfil:\nUsuario con sueño excelente (9h, muy buena calidad), lo que maximiza la síntesis proteica. Su principal limitante es el bajo peso y la baja frecuencia actual. El superávit calórico es el factor más crítico para este perfil ectomorfo.\n\nDía 1 - Lunes (Pecho y tríceps):\n1. Press de banca con barra - 4x10\n2. Press inclinado con mancuernas - 4x10\n3. Aperturas en máquina - 3x12\n4. Fondos en paralelas - 3x10\n5. Extensión de tríceps con barra Z - 4x12\n6. Tríceps en polea con cuerda - 3x15\n\nDía 2 - Martes (Espalda y bíceps):\n1. Dominadas con agarre ancho - 4x8\n2. Remo con barra - 4x10\n3. Jalón al pecho en polea - 3x12\n4. Remo en polea unilateral - 3x12\n5. Curl de bíceps con barra - 4x12\n6. Curl concentrado - 3x12\n\nDía 3 - Jueves (Piernas):\n1. Sentadilla con barra - 5x8\n2. Prensa de pierna - 4x12\n3. Peso muerto rumano - 4x10\n4. Extensión de cuádriceps - 3x15\n5. Curl femoral - 3x15\n6. Pantorrillas de pie - 5x20\n\nDía 4 - Viernes (Hombros y core):\n1. Press militar con barra - 4x10\n2. Elevaciones laterales - 4x15\n3. Pájaros con mancuernas - 3x15\n4. Encogimientos de trapecios - 3x15\n5. Plancha - 3x60s\n6. Crunch en polea - 3x15\n\nRecomendaciones:\n- ECTOMORFO: necesita superávit calórico de 500+ kcal/día. Mínimo 2800-3000 kcal.\n- 2.2g proteína/kg = 132g/día.\n- Comida pre-entreno (1-2h antes) rica en carbohidratos.\n- Aumentar agua a 2.5L."
"Edad: 28 años | Sexo: Mujer | Altura: 1.68m | Peso: 70kg | Frecuencia de ejercicio: 3-4 veces/semana | Nivel de rendimiento: Medio | Estilo de entrenamiento: Cardio y resistencia | Lugar de entrenamiento: Al aire libre | Tipo de dieta: Vegana | Consumo de agua: 2.5L/día | Horas de sueño: 7h | Calidad de sueño: Buena | Objetivo: Preparación para carrera de 5km","Rutina: Preparación para carrera 5km - 5 días/semana\n\nAnálisis del perfil:\nUsuaria con buena base física y entrenamiento al aire libre. Con dieta vegana, el riesgo principal es la deficiencia de proteína completa, vitamina B12 y hierro.\n\nDía 1 - Lunes (Rodaje suave + fuerza):\n1. Trote continuo 20 min - Ritmo conversacional\n2. Sentadilla con peso corporal - 3x20\n3. Zancadas en movimiento - 3x10 cada pierna\n4. Elevaciones de pantorrilla - 4x20\n5. Estiramiento - 10 min\n\nDía 2 - Martes (Intervalos):\n1. Calentamiento trote 5 min\n2. 6x400m a ritmo rápido - Descanso 90s\n3. Enfriamiento 5 min\n4. Plancha 3x45s + Puente de glúteos 3x15\n\nDía 3 - Miércoles (Fuerza funcional):\n1. Peso muerto con mancuernas - 3x12\n2. Step-up en cajón - 3x12 cada pierna\n3. Hip thrust con peso corporal - 3x15\n4. Sentadilla búlgara - 3x10\n5. Elevaciones laterales de cadera - 3x20\n\nDía 4 - Jueves (Rodaje medio):\n1. Trote continuo 30 min - Ritmo moderado\n2. Estiramientos dinámicos - 10 min\n3. Foam roller en piernas - 10 min\n\nDía 5 - Viernes (Fartlek):\n1. Calentamiento 5 min\n2. Fartlek 25 min: 2 min ritmo alto / 3 min suave\n3. Enfriamiento 5 min + estiramiento completo\n\nRecomendaciones:\n- Vegana: suplementar B12 (2.5mg/semana), hierro y omega-3.\n- Proteína vegana: 1.8g/kg = 126g/día de fuentes combinadas (soja, legumbres, quinoa).\n- Dias de descanso: sábado y domingo activos (caminata, yoga)."
"Edad: 40 años | Sexo: Hombre | Altura: 1.73m | Peso: 75kg | Frecuencia de ejercicio: 3-4 veces/semana | Nivel de rendimiento: Medio | Estilo de entrenamiento: Funcional y movilidad | Lugar de entrenamiento: Casa | Tipo de dieta: Omnívora | Consumo de agua: 2L/día | Horas de sueño: 6h | Calidad de sueño: Mala | Objetivo: Reducir estrés y mejorar bienestar","Rutina: Bienestar y reducción de estrés - 3 días/semana\n\nAnálisis del perfil:\nUsuario que entrena en casa. Su mayor problema es el sueño: 6h con mala calidad eleva el cortisol crónico. El entrenamiento debe ser de baja-moderada intensidad.\n\nDía 1 - Lunes (Fuerza moderada):\n1. Sentadilla con mancuernas - 3x12\n2. Flexiones - 3x12\n3. Remo con banda elástica - 3x12\n4. Press de hombros con mancuernas - 3x12\n5. Plancha abdominal - 3x40s\n6. Respiración diafragmática - 5 min\n\nDía 2 - Miércoles (Cardio suave + movilidad):\n1. Caminata exterior - 30 min ritmo cómodo\n2. Yoga o movilidad articular - 20 min\n3. Estiramientos de cuello, hombros y espalda - 10 min\n4. Meditación guiada - 5 min\n\nDía 3 - Viernes (Full body funcional):\n1. Swing con kettlebell o sentadilla con salto suave - 3x15\n2. Remo con mancuerna - 3x12\n3. Zancadas en sitio - 3x10 cada lado\n4. Flexiones con pausa - 3x10\n5. Puente de glúteos - 3x15\n6. Estiramiento y relajación final - 15 min\n\nRecomendaciones:\n- PRIORIDAD CRÍTICA: mejorar el sueño. Con 6h de mala calidad el cortisol elevado bloquea todos los beneficios del entrenamiento.\n- Estrategias de sueño: rutina nocturna fija, sin pantallas 1h antes, temperatura fresca en el cuarto.\n- Ejercicio de baja intensidad: elevar el cortisol con entrenamiento intenso empeoraría la situación."
"Edad: 16 años | Sexo: Mujer | Altura: 1.63m | Peso: 55kg | Frecuencia de ejercicio: 1-2 veces/semana | Nivel de rendimiento: Bajo | Estilo de entrenamiento: Funcional y tonificación | Lugar de entrenamiento: Gimnasio | Tipo de dieta: Omnívora | Consumo de agua: 1.5L/día | Horas de sueño: 8.5h | Calidad de sueño: Muy buena | Objetivo: Tonificar y mejorar condición física","Rutina: Acondicionamiento general juvenil - 3 días/semana\n\nAnálisis del perfil:\nUsuaria joven con sueño excelente. Al ser menor de edad, se evita carga axial pesada en columna. El entrenamiento prioriza técnica y patrones motores.\n\nDía 1 - Martes (Funcional tren superior):\n1. Flexiones modificadas en rodillas - 3x12\n2. Remo con banda elástica - 3x15\n3. Press de hombros con mancuernas livianas - 3x15\n4. Curl de bíceps con mancuernas - 3x15\n5. Tríceps en silla - 3x12\n6. Abdominales crunch - 3x15\n\nDía 2 - Jueves (Tren inferior y glúteo):\n1. Sentadilla con peso corporal - 4x20\n2. Zancadas en sitio - 3x12 cada pierna\n3. Puente de glúteos - 4x20\n4. Abducción lateral tumbada - 3x20\n5. Sentadilla sumo con mancuerna liviana - 3x15\n6. Plancha frontal - 3x30s\n\nDía 3 - Sábado (Full body + cardio):\n1. Jumping jacks - 3x30s\n2. Sentadilla con salto - 3x10\n3. Flexiones - 3x10\n4. Mountain climbers - 3x30s\n5. Burpees modificados - 3x8\n6. Estiramiento final - 10 min\n\nRecomendaciones:\n- Evitar carga axial pesada en columna (sin sentadilla con barra ni peso muerto pesado).\n- Aumentar agua a 2L/día.\n- Supervisión de un adulto en ejercicios con peso.\n- Priorizar técnica sobre carga."
